"Total Kinase","Total Phosphatase","Timestep","Patch Length","dPIP","alphaEnzyme","k_mkon","k_koff","p_mkon","p_koff","k_mkcat","k_mKm","p_mkcat","p_mKm","Kinase in Solution","Phosphatase in Solution","Average Body X","Average Node 1 X","Average Node 2 X","Average Node 3 X","Average Node 4 X","Average All Nodes X"
"134.23653339042295","909.7893642138424","0.01","0.5","3.0","0.2","0.04481886630737229","0.041404963156266954","0.09326676347966827","0.06571296997051954","10.0","0.5","15.0","0.5","63","245","0.04416171704995492","0.00305290712890662","0.18735365913967592","0.9119750755164785","0.2440113388014179","0.3365982451466193"
"909.4768863694933","900.5956533208652","0.01","0.5","3.0","0.2","0.09849113810274407","0.40914953842859964","0.053756922568307816","0.03658055727798828","10.0","0.5","15.0","0.5","902","235","0.0011943359771166315","0.15631435326537918","4.1069961883382773E-16","3.7437569644915056E-8","0.3472997605859259","0.12590353782221875"
"857.85344995924","962.7875334959463","0.01","0.5","3.0","0.2","0.040336159502275155","0.19603952667535876","0.3344885669577656","0.0796557446186687","10.0","0.5","15.0","0.5","849","103","0.015866651088362913","8.474063950268676E-4","3.085323015400973E-20","1.4074891057328883E-15","3.912567859222644E-6","2.1282974072187437E-4"
"50.68215759858663","641.1385984069093","0.01","0.5","3.0","0.2","0.011085352046806874","0.049134288161944324","0.18313380825940598","0.0457281414975051","10.0","0.5","15.0","0.5","47","47","0.0024437398426667293","0.24564811039596046","7.58126602083065E-15","1.9646317273906236E-14","9.759926373972243E-4","0.06165602575834619"
"395.7133644053694","176.46011992732636","0.01","0.5","3.0","0.2","0.032128879143903694","0.19064217641005188","0.10545453518545285","0.019389292963894595","10.0","0.5","15.0","0.5","348","3","0.1485590507524272","0.09105997248182185","0.9662570798673424","0.0017558057341578392","0.0018921272638826648","0.2652412463368013"
"571.6352408519421","450.6872143879682","0.01","0.5","3.0","0.2","0.0060715890767807906","0.4110325780191915","0.3679880642435728","0.08354327450491782","10.0","0.5","15.0","0.5","572","20","3.12566159100832E-17","4.789203804124977E-16","1.6248008508319673E-20","9.791493774827251E-18","6.375372353889561E-20","1.22197968979843E-16"
"910.4855920515566","42.504245493764635","0.01","0.5","3.0","0.2","0.046854770541202365","0.14669728001433388","0.4912429367482924","0.07040392962040687","10.0","0.5","15.0","0.5","603","0","0.8604990372114112","0.9994987511640709","0.9280254244187992","0.9995043756965628","0.8568020653103315","0.9459576541474406"
"856.0138609192633","725.3679412056113","0.01","0.5","3.0","0.2","0.04665164630703304","0.3163330032741135","0.2812192399905327","0.07412663013750938","10.0","0.5","15.0","0.5","845","77","1.6575207446460546E-6","0.7498300782390436","3.3366533444256363E-19","5.501844877295447E-13","0.2034478705344336","0.23831948719350673"
"945.7858713500246","792.9995170148109","0.01","0.5","3.0","0.2","0.024301782772586916","0.2309952912385777","0.12937677068877848","0.09557549282796929","10.0","0.5","15.0","0.5","946","196","2.610123085886492E-21","1.0396007654837772E-16","8.98132039272854E-28","6.314951522715423E-29","1.0264867451641046E-21","2.5990275759021044E-17"
"245.59002143897303","742.3260005216757","0.01","0.5","3.0","0.2","0.053243799810803245","0.11026001380947781","0.4993161205643637","0.04888432386718539","10.0","0.5","15.0","0.5","146","38","0.11111891569479113","0.8519161246921152","1.868527733261382E-15","3.7326342238412064E-10","0.994771787682208","0.4616719781868975"
"134.23653339042295","909.7893642138424","0.01","0.5","3.0","0.2","0.04481886630737229","0.041404963156266954","0.09326676347966827","0.06571296997051954","10.0","0.5","15.0","0.5","69","280","0.06635224217580894","4.5293448941057746E-7","4.495201172216958E-6","0.030200207614104257","0.556326791895186","0.1466329869112379"
"909.4768863694933","900.5956533208652","0.01","0.5","3.0","0.2","0.09849113810274407","0.40914953842859964","0.053756922568307816","0.03658055727798828","10.0","0.5","15.0","0.5","909","232","2.58502808263775E-7","6.209110574916279E-16","7.52073265136789E-5","1.2459897227145493E-11","8.131159760364546E-18","1.8801834743551288E-5"
"340.4461868767219","824.8098345182827","0.01","0.5","3.0","0.2","0.028486323869463058","0.1863629177924831","0.4667392858748836","0.0546519256456287","10.0","0.5","15.0","0.5","340","49","7.107768473470578E-7","2.686486256378649E-9","1.3069002712509865E-13","6.659608510990563E-17","8.665436547222996E-6","2.1670307910590002E-6"
"730.4286651666793","722.0177799818998","0.01","0.5","3.0","0.2","0.014395482309849918","0.3384476460282046","0.30148791094998806","0.08664944010953794","10.0","0.5","15.0","0.5","730","83","2.7752209019066416E-11","4.495840939151021E-19","1.1314843995752706E-28","1.365603869805205E-23","4.349275102809007E-9","1.087318775814651E-9"
"395.7133644053694","176.46011992732636","0.01","0.5","3.0","0.2","0.032128879143903694","0.19064217641005188","0.10545453518545285","0.019389292963894595","10.0","0.5","15.0","0.5","350","3","0.21478923724540988","0.035121326459464766","0.14682213489352233","8.01355374375881E-5","0.0013023769265110945","0.04583149345423399"
"571.6352408519421","450.6872143879682","0.01","0.5","3.0","0.2","0.0060715890767807906","0.4110325780191915","0.3679880642435728","0.08354327450491782","10.0","0.5","15.0","0.5","572","16","8.969662130047402E-17","3.339016839472308E-16","2.027182435000076E-24","3.531571299754839E-23","3.845079020333903E-9","9.612698385589065E-10"
"856.0138609192633","725.3679412056113","0.01","0.5","3.0","0.2","0.04665164630703304","0.3163330032741135","0.2812192399905327","0.07412663013750938","10.0","0.5","15.0","0.5","856","74","1.7395063437632662E-16","5.221647134998351E-17","1.0764506703740166E-24","6.81383371683882E-21","3.3531619944254427E-17","2.143872655110138E-17"
"910.4855920515566","42.504245493764635","0.01","0.5","3.0","0.2","0.046854770541202365","0.14669728001433388","0.4912429367482924","0.07040392962040687","10.0","0.5","15.0","0.5","597","3","0.9006333804660763","0.9998356749044387","0.47324767592344086","0.0018760815569490304","0.9995101270980055","0.6186173898707082"
"909.4768863694933","900.5956533208652","0.01","0.5","3.0","0.2","0.09849113810274407","0.40914953842859964","0.053756922568307816","0.03658055727798828","10.0","0.5","15.0","0.5","901","256","0.006090743839623374","9.423696174433247E-16","2.409486684043688E-9","0.0568647741064629","0.28105828123575244","0.08448076443792572"
"945.7858713500246","792.9995170148109","0.01","0.5","3.0","0.2","0.024301782772586916","0.2309952912385777","0.12937677068877848","0.09557549282796929","10.0","0.5","15.0","0.5","946","187","2.3468211262128265E-19","1.008363549488573E-14","5.187363357044647E-22","1.3908927128781806E-25","3.1839761215503796E-20","2.520916963380593E-15"
"245.59002143897303","742.3260005216757","0.01","0.5","3.0","0.2","0.053243799810803245","0.11026001380947781","0.4993161205643637","0.04888432386718539","10.0","0.5","15.0","0.5","185","35","0.06158562662152475","0.13620258404564747","1.71337484942237E-10","1.0604529977143418E-6","0.6527432125357552","0.19723671430143455"
"134.23653339042295","909.7893642138424","0.01","0.5","3.0","0.2","0.04481886630737229","0.041404963156266954","0.09326676347966827","0.06571296997051954","10.0","0.5","15.0","0.5","72","265","0.05318802890088261","1.1928935180588467E-4","0.19568348052651993","0.4967401521883912","0.09264977052204555","0.19629817314719109"
"340.4461868767219","824.8098345182827","0.01","0.5","3.0","0.2","0.028486323869463058","0.1863629177924831","0.4667392858748836","0.0546519256456287","10.0","0.5","15.0","0.5","337","41","1.1622578027160794E-4","6.196694573683569E-13","3.208685339542921E-20","3.0988684990247545E-12","0.6358855719920686","0.1589713929989468"
"730.4286651666793","722.0177799818998","0.01","0.5","3.0","0.2","0.014395482309849918","0.3384476460282046","0.30148791094998806","0.08664944010953794","10.0","0.5","15.0","0.5","730","73","1.957784739165061E-15","1.3947016744542778E-12","3.161534266851722E-28","4.9755737259033505E-26","1.974403822871956E-19","3.486754679736772E-13"
"395.7133644053694","176.46011992732636","0.01","0.5","3.0","0.2","0.032128879143903694","0.19064217641005188","0.10545453518545285","0.019389292963894595","10.0","0.5","15.0","0.5","366","4","0.12117245469583408","0.9408874039381083","7.137631396697556E-4","0.0243743839174452","0.007986586944065607","0.24349053448482225"
"571.6352408519421","450.6872143879682","0.01","0.5","3.0","0.2","0.0060715890767807906","0.4110325780191915","0.3679880642435728","0.08354327450491782","10.0","0.5","15.0","0.5","572","28","7.398873608483099E-14","1.6837665475830524E-12","2.937483546887047E-15","6.609557320056328E-20","6.929198916980853E-15","4.2340832403562333E-13"
